Title,Artist,Year,Additional information
"""Christmas Lights""",Coldplay,2010,Digital download track that peaked at No. 25 on the Billboard Hot 100 and No. 12 on the Billboard Hot Digital Songs chart.[146]
"""A Christmas Love""",Johnny Kaye with the Morty Jay Orchestra,1963,"Charted for 1 week on the Christmas Singles chart, peaking at No. 20.[10]"
"""Christmas Lullaby""",Cary Grant,1967,Written by Peggy Lee and Cy Coleman.[93]
"""Christmas Medley""",The Salsoul Orchestra,1976,"A 12-minute, 8-second disco medley of holiday songs performed by the backing band for Salsoul Records, containing the songs: ""Joy To The World""/""Deck The Halls""/""O Come All Ye Faithful""/""Jingle Bells""/""Hark! The Herald Angels Sing""/""Santa Claus Is Coming To Town""/""The Christmas Song""/""White Christmas""/""Rudolph The Red-Nosed Reindeer""/""I'll Be Home For Christmas""/""Winter Wonderland""/""The First Noël""/""We Wish You A Merry Christmas"". The B-side of the single was ""New Year's Medley"", a 7-minute, 17-second medley of new year's-related songs."
"""Christmas Memories""",Frank Sinatra,1975,"Also recorded by Alabama (1985), Steve Wariner (1992), Rosemary Clooney (1996), and Barbra Streisand (2001). Sometimes titled ""Christmas Mem'ries""."
"""Christmas Must Be Tonight""",The Band,1977,"From the album Islands. Written by band member Robbie Robertson, who recorded a solo version in 1988 for the soundtrack to the film Scrooged."
"""Christmas Night in Harlem""",Louis Armstrong with the Benny Carter Orchestra.,1955,"Song originated in 1934. A hit, in that year, by the Paul Whiteman orchestra."
"""Christmas Party""","""Two Ton"" Baker the Merry Music Maker",1948,"Issued as a 2-disc (in a foldout picture sleeve) 78 rpm set on Mercury Records' Miniature Playhouse children's series (songs on the set are ""The Night Before Christmas""/""Santa's Toy Shop""/""Up on the House Top""/""Deck The Halls""/""Jingle Bells"").[143]"
"""Christmas Rappin'""",Kurtis Blow,1979,"Charted on the Billboard R&B chart in 1993, 1994, 1996 and 2000.[147][148]"
"""Christmas Saves The Year""",Twenty One Pilots,2020,
"""The Christmas Shoes""",NewSong,2000,"Spent one week at No. 1 on the Billboard Adult Contemporary chart, and also peaked at No. 42 on the Billboard Hot 100 chart and No. 31 on the Hot Country Songs chart.[100][149] From the album Sheltering Tree."
"""Christmas Shopping""",Buck Owens and his Buckaroos,1968,From Owens' album of the same name. Reached No. 5 on the Billboard Christmas chart.[150]
"""Christmas Song""",Dave Matthews Band,2000,
"""The Christmas Song""",Angel,1977,"A version of the rock band's own 1977 hit ""The Winter Song"", but featuring alternate lyrics (both tracks featured The California Boys Choir and both were produced by Eddie Leonetti)."
"""The Christmas Song (Merry Christmas to You)""",The King Cole Trio,1946,"Written in 1944 by Mel Tormé and Robert Wells. Sometimes subtitled ""Chestnuts Roasting on an Open Fire"", but originally subtitled ""Merry Christmas to You."" Peaked at No. 3 on both the Billboard Records Most-Played On The Air and Juke Box Race Records charts in December 1946.[151][152]"
"""The Christmas Song (Merry Christmas to You)""",Nat King Cole,1953,"With orchestra conducted by Nelson Riddle (Capitol 3561). First entered the Billboard Hot 100 chart on the week ending December 12, 1960, peaking at No. 65 on the week ending December 29, 1962.[151]"
"""The Christmas Song (Merry Christmas to You)""",Nat King Cole,1961,"Re-recorded in 1961 (in stereo for the first time) by Cole with orchestra conducted by Ralph Carmichael; this final Cole version entered the Hot 100 chart six different years (2013, 2015, 2016, 2017, 2018 and 2019), peaking at No. 11 on the week ending January 5, 2019.[153] It remains the most popular version of the song.[154][155][156]"
"""The Christmas Song (Merry Christmas to You)""",Les Brown and His Orchestra,1946,Featuring Doris Day on vocal. Debuted and peaked at No. 12 on the Billboard Records Most-Played On The Air chart in January 1947.[91][157]
"""The Christmas Song (Merry Christmas to You)""",James Brown & The Famous Flames,1966,"Peaked at No. 12 on the Billboard Best Selling Christmas Singles chart on the week ending December 17, 1966.[158]"
"""The Christmas Song (Merry Christmas to You)""",Herb Alpert,1968,Spent three weeks at No. 1 on the Billboard Christmas Singles chart in December 1968.[2]
"""The Christmas Song (Merry Christmas to You)""",Natalie Cole,1991,"Peaked at No. 22 on the Billboard Hot Adult Contemporary chart on the week ending January 4, 1992.[96][159]"
"""The Christmas Song (Merry Christmas to You)""",Toni Braxton,1993,"Peaked at No. 57 on the Billboard Hot R&B Airplay chart on the week ending January 8, 1994.[72]"
"""The Christmas Song (Merry Christmas to You)""",Reba McEntire,1996,"Peaked at No. 63 on the Billboard Hot Country Singles & Tracks chart on the week ending January 11, 1997.[47]"
"""The Christmas Song (Merry Christmas to You)""",Trace Adkins,1998,"Peaked at No. 64 on the Billboard Hot Country Singles & Tracks chart on the week ending January 2, 1999.[39]"
"""The Christmas Song (Merry Christmas to You)""",Martina McBride,1998,"Peaked at No. 67 on the Billboard Hot Country Singles & Tracks chart on the week ending December 30, 2000.[47]"
"""The Christmas Song (Merry Christmas to You)""",Christina Aguilera,1999,"Peaked at No. 18 on the Billboard Hot 100 chart on the week ending January 1, 2000.[39][160] First version of the song to make the Top 40 portion of the Hot 100 chart."
"""The Christmas Song (Merry Christmas to You)""",Michael Bublé,2003,"Peaked at No. 6 on the Billboard Adult Contemporary chart on the week ending December 20, 2003.[91]"
"""Christmas Spirit""",Richard Marx,2011,"Written by Richard Marx and Fee Waybill, the song peaked at No. 15 on the Adult Contemporary chart."
"""Christmas Tears""",Freddy King,1961,"R&B hit in 1961; also charted on the Christmas Singles chart in 1964 & 1966.[45][161] Released in 1964 by The Four Seasons as the B-side to ""I Saw Mommy Kissing Santa Claus""."
"""Christmas This Year""",Mêlée,2008,
"""Christmas Through Your Eyes""",Gloria Estefan,1992,"Reached the British pop singles chart in 1992 as a double-A side with ""Miami Hit Mix"". From the album Christmas Through Your Eyes."
"""Christmas Time"" (1)",Bryan Adams,1985,"A different picture sleeve was issued in 1986. Peaked at No. 4 on the Billboard Christmas singles chart, and No. 35 on the Mainstream Rock Tracks chart in 1985.[39][162]"
"""Christmas Time"" (2)",John Anderson,1994,Reached No. 57 on the Billboard Hot Country Singles & Tracks chart in 1995.[2][163][164]
"""Christmas Time"" (3)",Christina Aguilera,2000,Released as a promotional single for the album My Kind of Christmas.
"""Christmas Time (Is Here Again)""",The Beatles,1967,Also recorded by group member Ringo Starr for his 1999 Christmas album I Wanna Be Santa Claus.
"""Christmas Time Is Here"" (1)",Vince Guaraldi Trio,1965,"Originally composed for the 1965 animated TV special A Charlie Brown Christmas. Melody has similar chord progression to the 1932 Cole Porter jazz standard ""Night and Day"". Also a hit for Toni Braxton, Shawn Colvin, and Johnny Mathis. Both instrumental and vocal versions were recorded by Guaraldi."
"""Christmas Time Is Here"" (2)","Ray Parker, Jr.",1982,"Re-issued in 1984 as the B-side of Parker's top 40 pop hit single, ""Jamie""."
"""Christmas Time's A-Comin'""",Sammy Kershaw,1994,Peaked at No. 50 on the Billboard Country chart in 1995. Recharted in 1998.[45][165]
"""Christmas Tonight""",Dave Barnes with Hillary Scott,2010,Reached No. 9 on the Billboard Hot Adult Contemporary Tracks chart.[166]
"""Christmas Tree""",Lady Gaga featuring Space Cowboy,2009,Reached No. 23 on the Billboard Holiday/Seasonal Digital Songs chart in late 2010.[167]
"""The Christmas Tree Angel (Sweet Angie)""",Fran Allison,1951,Reached No. 14 on the Best Selling Children's chart.[39]
"""Christmas Tree Farm""",Taylor Swift,2019,"Debuted and peaked at No. 59 on Billboard's Hot 100 chart and at No. 19 on Billboard's Holiday 100 chart on the week ending December 21, 2019. Also made these other Billboard music charts (with peak positions shown): Adult Contemporary (No. 3), Adult Pop Airplay (No. 40), Global 200 (No. 147), Digital Song Sales (No. 2), Holiday Digital Song Sales (No. 2), and Holiday Streaming Songs (No. 44). An updated ""Old Timey Version"" (also recorded by Swift) was released in 2021, and made these Billboard music charts: Adult Contemporary (No. 22), Global 200 (No. 195), Holiday 100 (No. 52), Holiday Streaming Songs (No. 41) and Hot 100 (No. 82).[168]"
"""Christmas Vacation""",Mavis Staples,1989,From the 1989 film National Lampoon's Christmas Vacation. Written by Barry Mann and Cynthia Weil.
"""The Christmas Waltz""","Harry Connick, Jr.",2003,"Hit the Adult Contemporary chart in 2004.[96][169] Previously recorded by Frank Sinatra in 1954,[170] 1957,[171] and 1968,[172] as well as Kay Starr, Nancy Wilson, The Carpenters, Lawrence Welk, Natalie Cole, and Barry Manilow."
"""Christmas Where You Are""",Five for Fighting featuring Jim Brickman,2017,Peaked at No. 11 on the Billboard Adult Contemporary chart in early 2018.
"""Christmas Will Be Just Another Lonely Day""",Brenda Lee,1964,"B-side to her single ""This Time of the Year"". Charted for 1 week in 1964.[173]"
"""A Christmas Wish""",Bobby Goldsboro,1968,"Reached No. 11 in Billboard's Christmas singles chart. B-side is ""Look Around You (It's Christmas Time)"".[93]"
"""Christmas with the Devil""",Spinal Tap,1984,"Written by Christopher Guest, Michael McKean & Harry Shearer. Originally issued on Enigma Records with picture sleeve and also a special picture disc issue, both 7"""
"""Christmas Without You""",Kenny Rogers and Dolly Parton,1984,From the album Once Upon a Christmas.
"""Christmas Wrapping""",The Waitresses,1981,"From the 1981 various artists holiday compilation album A Christmas Record on ZE Records. Made the following Billboard music charts (with peak positions shown): Alternative Digital Song Sales (No. 9), Holiday 100 (No. 67), Holiday Digital Song Sales (No. 12), Rock Digital Song Sales (No. 8), and Rock Streaming Songs (No. 24).[174]"
"""Christmastime"" (1)",Aimee Mann with Michael Penn,1996,From the album Just Say Noël. Also used in the film Hard Eight.
"""Christmastime"" (2)",The Smashing Pumpkins,1997,An original song written by Billy Corgan and released on the compilation A Very Special Christmas 3 in aid of the Special Olympics.
"""Cold December Night""",Michael Bublé,2011,Peaked at No. 10 on Billboard's Adult Contemporary chart in 2012.[175]
"""Colorado Christmas""",Nitty Gritty Dirt Band,1983,Peaked at No. 92 on the Billboard Hot Country Singles chart in 1984.[100][176]
"""Coming Home for Christmas""",Jim Brickman,2007,Peaked at No. 4 on the Billboard Hot Adult Contemporary Tracks chart during the Christmas season of 2007. Features Richie McDonald (former lead singer of Lonestar) on lead vocals.[177]
"""Cool Yule""",Louis Armstrong with the Commanders,1953,Written by Steve Allen. Also a hit remake for singer/actress Bette Midler in 2006.
"""Coventry Carol""",Robert Shaw,1949,Christmas carol dating from the 16th century.
"""Cozy Little Christmas""",Katy Perry,2018,"Peaked at No. 1 for one week on Billboard's Adult Contemporary chart on the week ending December 29, 2018. Also made these other Billboard music charts (with peak positions shown): Adult Top 40 (No. 37), Global 200 (No. 110), Holiday 100 (No. 30), Holiday Digital Song Sales (No. 19), Holiday Streaming Songs (No. 24), Hot 100 (No. 53), and Streaming Songs (No. 39).[178] Also peaked at No. 26 on Rolling Stone's Top 100 Songs chart in December 2019."
"""Daddy's Drinking Up Our Christmas""",Commander Cody,1973,Peaked at No. 19 on the Billboard Christmas Singles chart.[96]
"""Dearest Santa""",Bobby Vinton,1964,"Peaked at No. 8 on the Billboard Christmas Singles chart, and released with the B-side ""The Bell That Couldn't Jingle"" Also issued with the hit song ""Mr. Lonely"", as a back-to-back promotional single with a text sleeve.[13] From the album A Very Merry Christmas."
"""December Prayer""",Idina Menzel,2014,From the album Holiday Wishes.
"""Deck the Halls""",Nat King Cole,1960,"From Cole's 1960 album The Magic of Christmas. First entered Billboard's Hot 100 chart at position No. 47 on the week ending December 26, 2020, peaking at No. 43 one year later (on the week ending January 2, 2021). Also made these other Billboard music charts (with peak positions shown): Global 200 (No. 79), Holiday 100 (No. 22), Holiday Streaming Songs (No. 18), Hot 100 Recurrents (No. 2), R&B Streaming Songs (No. 4), R&B/Hip-Hop Streaming Songs (No. 5), and Streaming Songs (No. 24).[179]"
"""Deck the Halls""",Mannheim Steamroller,1984,"From the 1984 album Mannheim Steamroller Christmas. Peaked at No. 38 on Billboard's Hot Adult Contemporary chart (week ending January 7, 1995),[5] at No. 10 on Billboard's Holiday Airplay chart (week ending December 22, 2001),[180] and at No. 91 on Billboard's Holiday 100 chart (week ending December 13, 2014).[181][182]"
"""Deck the Halls""",SHeDAISY,1999,"From the 1999 animated movie Mickey's Once Upon a Christmas. Peaked at No. 61 on Billboard's Hot 100 chart (week ending January 8, 2000) and at No. 37 on Billboard's Hot Country Singles & Tracks chart (week ending January 6, 2001).[103][183]"
"""Deck the Halls""",Brian Wilson,2005,"From the 2005 album What I Really Want for Christmas. Peaked at No. 8 on Billboard's Adult Contemporary chart on the week ending January 7, 2006.[184][185]"
"""Deck the Halls/The Twelve Days of Christmas""",Kenny G,2002,"Medley of two ancient Welsh and English folk carols. From the 2002 album Wishes: A Holiday Album. Peaked at No. 22 on Billboard's Adult Contemporary chart on the week ending January 4, 2003.[45]"
"""Dig That Crazy Santa Claus""",Ralph Marterie & His Orchestra,1954,"Also recorded by Oscar McLollie & His Honey Jumpers in 1954, and The Brian Setzer Orchestra in 2005."
"""Ding Dong, Ding Dong""",George Harrison,1974,Peaked at No. 36 on the Billboard Hot 100 singles chart in February 1975.[186][187]
"""Do They Know It's Christmas?""",Band Aid,1984,"A benefit recording by an all-star group to assist famine relief in Ethiopia; organized by Bob Geldof of the British rock band The Boomtown Rats.[143][188] Written by Geldof and Midge Ure of the British rock band Ultravox. A Christmas No. 1 single on the UK singles chart in 1984, and re-recorded on two other separate occasions: Band Aid II in 1989 and Band Aid 20 in 2004."
"""Do They Know It's Christmas?""",Glee Cast,2011,"Record for the Glee season 3 episode ""Extraordinary Merry Christmas"". Peaked at No.92 on the Hot 100"
"""Do You Hear What I Hear?""",Bing Crosby,1963,"Peaked at No. 2 on Billboard's Christmas Singles chart. Featuring backing by Ralph Carmichael's chorus and orchestra.[189][190] Other charted versions by Andy Williams (1965),[85] Vanessa Williams (1997),[85][191] Carrie Underwood (2007),[192] Carole King (2011),[193] Jordin Sparks (2012),[194] and Russell Watson (2017). Originally recorded by the Harry Simeone Chorale in 1962, which peaked at No. 66 on the Music Vendor survey."
"""Dominick the Donkey (The Italian Christmas Donkey)""",Lou Monte,1960,Featuring orchestration by Joe Reisman. Peaked at No. 114 on the Billboard Bubbling Under Hot 100 Singles chart.[87][195]
"""¿Dónde Está Santa Claus? (Where Is Santa Claus?)""",Augie Rios,1958,"Featuring orchestration by Mark Jeffrey. Peaked at No. 47 on the Billboard Hot 100 singles chart.[128][196] Also covered by actress Charo (1978), and by the rock band Guster (2003)."
"""Don't Save It All for Christmas Day""",Celine Dion,1998,Christian group Avalon covered the song for their 2000 album Joy: A Christmas Collection. Clay Aiken also covered it for his 2004 Christmas collection Merry Christmas with Love.
"""Don't Shoot Me Santa""",The Killers,2007,Peaked at No. 58 on the Billboard Hot Digital Songs chart and No. 73 on the Pop 100.[197]
"""(Don't Wait 'Till) The Night Before Christmas""",Eddy Duchin and his Orchestra,1938,Featuring vocals by Stanley Worth. Peaked at No. 9 on the pop singles chart.[51][198]
"""Dreams of Fireflies (On a Christmas Night)""",Trans-Siberian Orchestra,2012,Peaked at No. 3 on Billboard's Adult Contemporary chart.[199] From the five-song EP of the same name.
"""Early Christmas Morning""",Cyndi Lauper,1998,From the album Merry Christmas...Have a Nice Life
"""Easier Said Than Done""",Jon Anderson,1986,Written by Vangelis. From Jon's Christmas album 3 Ships.[200]
"""8 Days of Christmas""",Destiny's Child,2001,"Peaked at No. 57 on the Billboard Hot R&B/Hip-Hop Singles & Tracks chart, and at No. 102 on the Billboard Bubbling Under Hot 100 Singles chart in 2002.[51][201]"
"""Elf's Lament""",Barenaked Ladies featuring Michael Bublé,2004,
"""Even Santa Claus Gets the Blues""",Marty Stuart,2003,Peaked at No. 55 on the Billboard Hot Country Singles & Tracks chart in 2004.[115][202] From the album A Very Special Acoustic Christmas.
"""Every Year, Every Christmas""",Luther Vandross,1995,Peaked at No. 32 on the Billboard Hot R&B Airplay chart in 1996.[13][203]
"""(Everybody's Waitin' for) The Man with the Bag""",Kay Starr,1950,"Written by Irving Taylor, Dudley Brooks, and Hal Stanley. Also recorded by Vonda Shepard (2000), The Brian Setzer Orchestra (2002), Jane Monheit (2005), and Kellie Pickler (2013)."
"""Everyday Will Be Like a Holiday""",William Bell,1967,"Reached No. 33 on the Billboard Hot R&B Singles chart.[204] Covered by the Sweet Inspirations in 1969, and by Daryl Hall & John Oates in 2006."
"""Fa La La""",Jim Brickman featuring Olivia Jade Archbold,2011,Peaked at No. 2 on the Billboard Adult Contemporary Tracks chart.[205]
"""Fall Softly Snow""",Jim Ed Brown and Helen Cornelius,1977,Reached #91 on the Billboard Hot Country Singles chart.[91][206]
"""Far Away Blues (Xmas Blues)""",Johnny Otis Orchestra with Little Esther,1950,Reached No. 6 on the Hot R&B Singles chart.[150]
"""Father Christmas""",The Kinks,1977,Written by Ray Davies of the Kinks.
"""Favorite Time of Year""",India Arie & Joe Sample featuring Tori Kelly,2015,Peaked at No. 24 on the Billboard Adult Contemporary chart.
"""Feliz Navidad""",José Feliciano,1970,"Entered Billboard's Adult Contemporary chart on the week ending January 3, 1998, peaking at No. 12 two years later (on the week ending January 8, 2000).[57] First entered Billboard's main Hot 100 chart on the week ending January 7, 2017, peaking at No. 6 four years later (on the week ending January 2, 2021).[207] Also made the Cashbox Top 100 chart in 1970, recharting in 1998.[208] Written by Feliciano."
"""Feliz Navidad""",Clay Walker,2002,"Peaked at No. 49 on the Billboard Hot Country Singles & Tracks chart on the week ending January 11, 2003.[13][209]"
"""Feliz Navidad""",Jon Secada,2005,"Peaked at No. 3 on the Billboard Adult Contemporary chart on the week ending January 7, 2006.[210][211]"
"""The First Christmas""",Danny Thomas,1967,"With the Sid Feller orchestra. From the Rankin/Bass animated special The Cricket on the Hearth. Peaked at #24 on Billboard's ""Best Bets For Christmas"" survey.[12]"
"""The First Noel""",Clay Aiken,2003,Contemporary version of the traditional English Christmas carol that peaked at No. 9 on the Billboard Hot Adult Contemporary Tracks chart.[39][212] Also charted by Carrie Underwood (2009).[213]
"""Footprints in the Snow""",Bill Monroe and his Blue Grass Boys,1946,Peaked at No. 5 on Billboard Hot Country Singles chart.[87]
"""Frosty the Snowman""",Gene Autry and the Cass County Boys,1950,"Reached No. 2 on the Best Selling Children's chart in 1950. Also charted on the country and pop charts in 1950, and re-charted in 1951 and 1952.[214][215] Other hit versions that also charted were released by Nat King Cole (1950),[96][216] Guy Lombardo and His Royal Canadians (1950),[34][217] Red Foley and the Little Foleys (1951),[74] Johnny Mathis (2002),[47][218] Kimberley Locke (2007),[219] and Whitney Wolanin (2012). The song was also re-recorded and further popularized by Jimmy Durante in a 1969 TV special of the same name.[220][221]"
"""Gabriel's Message""",Sting,1985,"Originally the B-side of the 45 rpm of ""Russians"" in 1985, it was later included on the 1987 holiday compilation album A Very Special Christmas."
"""Gee Whiz, It's Christmas""",Carla Thomas,1963,"Follow-up to Carla's 1961 top 10 pop and R&B hit, ""Gee Whiz (Look at His Eyes)"".[12]"
"""Ghost of My Christmas Past""",Robin Meade,2017,Peaked at No. 22 on the Billboard Adult Contemporary chart in early 2018.
"""The Gift""",Jim Brickman,1997,Peaked at No. 3 on the Billboard Hot Adult Contemporary Tracks chart during the Christmas season of 1997. Features Collin Raye and Susan Ashton on lead vocals.[72][222]
"""The Gift of Giving""",Bill Withers,1972,"Peaked on #5 in Billboard's Christmas survey. The B-side of the pop song ""Let Us Love"".[85]"
"""Give Love on Christmas Day""",The Jackson 5,1970,Also a R&B hit for Johnny Gill in 1998.[131][223]
"""Go Tell It on the Mountain""","Peter, Paul & Mary",1964,"Reached No. 7 on the Adult Contemporary chart.[224] A version of this classic spiritual by Garth Brooks was first released in 1992, but didn't make the Billboard Hot Country Songs chart until late 1998/early 1999.[72][225] A medley of this song with ""Mary Had a Baby"" was a hit for Vanessa L. Williams in 1993, and inspired her to record a full-length holiday album the following year. Also charted by Little Big Town (2006).[226]"
"""God Rest Ye Merry, Gentlemen""",Garth Brooks,2000,"From the album Garth Brooks and the Magic of Christmas.[72][227] Originally recorded by Garth in 1992. Traditional Christmas carol recorded by hundreds of artists, including MercyMe (2006).[228]"
"""Goin' Home (Sing a Song of Christmas Cheer)""",Bobby Sherman,1970,"B-side is ""Love's What You're Getting For Christmas"". From his 1970 Christmas album. Contains a portion of ""Silent Night"". Made the Cashbox Top 100 in 1970."
"""Grandma Got Run Over by a Reindeer""",Elmo & Patsy,1979,"Written by Randy Brooks. Originally recorded in 1979, new versions were released in 1982 and 1984. The song hit No. 1 on the Billboard Christmas singles charts during the Christmas seasons of 1983–1985,[229][164] and bubbled under the Hot 100 in 1992.[126] The best-selling novelty Christmas single of all time in the U.S.,[citation needed] it spawned toys and an animated TV special that remain popular each year."
"""A Great Big Sled""",The Killers,2006,Reached No. 54 on the Billboard Hot 100 chart.[230]
"""The Greatest Gift of All""",Kenny Rogers and Dolly Parton,1984,"Reached the Billboard Hot 100, Country, and Adult Contemporary charts in early 1985.[1][231] From the album Once Upon a Christmas."
"""Greatest Time of Year""",Aly & AJ,2006,From the album Acoustic Hearts of Winter. Also used in the film The Santa Clause 3.[232]
"""Green Chri$tma$""",Stan Freberg,1958,"Featuring Daws Butler, Marvin Miller and Wil Wright in a ""commercial"" parody of Scrooge.[131][233]"
"""Grown-Up Christmas List""",David Foster featuring Natalie Cole,1990,"Written by David Foster (music) and Linda Thompson Jenner (lyrics). Other hit versions include Amy Grant (1992),[234] Barbra Streisand (2001), Michael Bublé (2003), Kelly Clarkson (2003),[151][235] and Clay Aiken (2006)."
"""Hangin' Round the Mistletoe""",Brooks & Dunn,2002,Hit the Billboard Hot Country Singles chart. From the album It Won't Be Christmas Without You.[158][236]
"""Happy Birthday, Jesus""",Patti Page,1967,"Backing music is ""Silent Night""; issued with 2 different picture sleeves.[150]"
"""Happy Christmas, Little Friend""",Rosemary Clooney,1953,Written by Rodgers and Hammerstein. Official song of the 1953 Christmas Seals campaign.[151] Also recorded by Dinah Shore (1957).
"""The Happy Elf""","Harry Connick, Jr.",2005,From the album Harry for the Holidays.[237]
"""Happy Holiday""",Bing Crosby,1942,"Written by Irving Berlin for the 1942 film Holiday Inn, co-starring Crosby and Fred Astaire. Hit versions were recorded by Peggy Lee and Steve Lawrence & Eydie Gorme. The Lawrence-Gorme version, released as a single, made the Cash Box Christmas singles chart in 1964."
"""Happy Holiday/The Holiday Season""",Andy Williams,1963,"Medley arrangement of the songs ""Happy Holiday"" and ""The Holiday Season"" (the latter written by Kay Thompson in 1945). First entered Billboard's Hot 100 chart on the week ending December 14, 2019, peaking at No. 18 on the week ending January 2, 2021, following its chart re-entry. Also made these other Billboard music charts (with peak positions shown): Global 200 (No. 70), Holiday 100 (No. 12), Holiday Airplay (No. 9), Holiday Digital Song Sales (No. 11), Holiday Streaming Songs (No. 9), Hot 100 Recurrents (No. 9), and Streaming Songs (No. 14).[238]"
"""Happy New Year"" (1)",Judy Garland,1957,From the album Alone. Written by Gordon Jenkins. Also recorded by Nat King Cole (1962).
"""Happy New Year"" (2)",ABBA,1980,Released as a CD single in 1999.
"""The Happy Reindeer""",Russ Regan,1959,"Peaked at No. 34 on the Billboard Hot 100 singles chart. Novelty song inspired by ""The Chipmunk Song (Christmas Don't Be Late)"". Performed under the pseudonym ""Dancer, Prancer and Nervous, the Singing Reindeer"".[113]"
"""Happy Xmas (War Is Over)""",John and Yoko and The Plastic Ono Band with the Harlem Community Choir,1971,"Written by John Lennon and Yoko Ono.[173][239] Later covered by Melissa Etheridge (1994), The Polyphonic Spree, Celine Dion (1997), The Idols, The Alarm, Neil Diamond, the Street Drum Corps feat. Bert McCracken of The Used, Sarah McLachlan (2006),[240] and Josh Groban (2017)."
"""Hard Candy Christmas""",Dolly Parton,1982,Peaked at No. 8 on the Billboard country charts. From the movie The Best Little Whorehouse in Texas.[1][241] Written by Carol Hall in 1978 and originally recorded by the female cast of the Broadway play of the same title.
"""Hark! The Herald Angels Sing""",Carrie Underwood,2008,Reached No. 14 on the Billboard Hot Adult Contemporary Tracks chart during the Christmas season of 2008.[242]
"""Have Yourself a Merry Little Christmas""",Judy Garland,1944,"Peaked at No. 27 on the pop singles chart. Featuring orchestration by Georgie Stoll. Written by Ralph Blane and Hugh Martin, and introduced in the 1944 film Meet Me in St. Louis starring Garland.[131][243] Other charted versions were recorded by Vince Gill (1993),[93][244] Kenny G (1994),[245] Martina McBride (1999),[47][246] Lonestar (2000),[34] James Taylor (2001),[115][247] Neal McCoy (2001), Ruben Studdard & Tamyra Gray (2003),[115] Aimee Mann (2006), Colbie Caillat (2009), Sam Smith (2014),[248] and Train (2015). The 2014 version by Smith was the first to chart on the Billboard Hot 100 in that chart's entire history."
"""The Heart of Christmas""",Matthew West,2011,"Peaked at No. 6 on Billboard's Adult Contemporary chart for the weeks of December 17, 2011 and December 24, 2011.[249]"
"""Hello, Mr. Kringle""",Kay Kyser and his Orchestra,1939,"Novelty record with Ginny Simms, Ish Kabibble, Sully Mason & Harry Babbitt on vocals.[45]"
"""Here Comes Santa Claus (Right Down Santa Claus Lane)""",Gene Autry,1947,"First released in 1947 on Columbia 37942 as by Gene Autry with Vocal Group. Peaked at No. 4 on Billboard's Best-Selling Retail Folk Records chart (week ending December 25, 1948), at No. 7 on Billboard's Most-Played Juke Box Folk Records chart (week ending December 25, 1948), at No. 8 on Billboard's Best-Selling Popular Retail Records chart (week ending January 1, 1949), at No. 9 on Billboard's Records Most Played By Disk Jockeys chart (week ending January 1, 1949), at No. 10 on Billboard's Best-Selling Children's Records chart (week ending December 24, 1949), and at No. 8 on Billboard's Country & Western Records Most Played By Folk Disk Jockeys chart (week ending January 7, 1950).[214][250] First entered Billboard's Hot 100 chart on the week ending December 22, 2018, peaking at No. 26 on the week ending January 2, 2021, following its second chart re-entry.[251] Also made these other Billboard music charts (with peak positions shown): Country Streaming Songs (No. 4), Global 200 (No. 78), Holiday 100 (No. 10), Holiday Airplay (No. 8), Holiday Streaming Songs (No. 8), Hot 100 Recurrents (No. 2), and Streaming Songs (No. 14).[252]"
"""Here It Is Christmas/Baby, It's Cold Outside""",Kenny Rogers featuring Jennifer Nettles,2015,Peaked at No. 18 on the Billboard Adult Contemporary chart.
"""Here's Your Sign Christmas""",Bill Engvall,1998,"A Christmas version of his 1997 debut hit ""Here's Your Sign"" with Travis Tritt. A No. 1 hit on the Billboard Country Singles chart in 2003.[126]"
"""Hey America""",James Brown,1970,Bubbled under the Hot 100 in 1970.[91][253]
"""Hey Santa!""",Carnie and Wendy Wilson,1993,Bubbled under the Hot 100 in 1994. From the album Hey Santa!.[85][254]
"""Hitch a Ride with Santa""",Jim Brickman with Charlie Alan,2015,Peaked at No. 22 on the Billboard Adult Contemporary chart.
"""Holiday Hootenanny""",Paul & Paula,1963,"An adaptation of ""Jingle Bells"".[1]"
"""Holiday in Cambodia""",Richard Cheese,2006,"Straight lounge-music cover of the Dead Kennedys song with jingling bells in the background and a ""Merry Christmas"" shoutout at the end."
"""A Holly Jolly Christmas""",Burl Ives,1964,"Peaked at No. 13 on the Billboard Christmas Singles chart on the week ending December 26, 1964.[36][255] First entered the Billboard Hot 100 chart on the week ending January 7, 2017, making the top 10 of the chart for the first time on the week ending January 5, 2019, and reaching an all-time chart peak of No. 4 exactly one year later on the week ending January 4, 2020 (58 years and two weeks after Ives' previous Top 5 pop hit single).[256] Written by Johnny Marks in 1962, and first recorded by The Quinto Sisters. Made famous by Ives in the 1964 holiday television special Rudolph, the Red-Nosed Reindeer, albeit with a different recording than the one that gained popularity as a single."
"""A Holly Jolly Christmas""",Alan Jackson,1992,"From the 1992 film Home Alone 2: Lost in New York. Peaked at No. 51 on the Billboard Hot Country Singles & Tracks chart on the week ending January 10, 1998.[76][257]"
"""A Holly Jolly Christmas""",Michael Bublé,2011,"Peaked at No. 3 on the Billboard Adult Contemporary chart on the week ending December 17, 2011,[258] and at No. 22 on the Billboard Holiday 100 chart on the week ending December 29, 2012.[259]"
